,Parameter name,Order,Dependency,Relation,Explanation,Comments,Favorite,Value,Expression,Previous parameter name
,LD_mid_top_hinge_offset,112,Derived,Helper,"For the door adjacent to the LEFT side of the stile:
An offset applying to the mid-top hinge when the floor clearance is 1"" the door hinges on a stile","112) Derived - Helper
    For the door adjacent to the LEFT side of the stile:
An offset applying to the mid-top hinge when the floor clearance is 1"" the door hinges on a stile",No,0,"= -1 * 0.823 * IF(LD_floor_clearance = 1, 1, 0)",
,LD_mid_bottom_hinge_offset,113,Derived,Helper,"For the door adjacent to the LEFT side of the stile:
An offset applying to the mid-bottom hinge when the floor clearance is 1"" the door hinges on a stile","113) Derived - Helper
    For the door adjacent to the LEFT side of the stile:
An offset applying to the mid-bottom hinge when the floor clearance is 1"" the door hinges on a stile",No,0,"= 2 * 0.823 * IF(LD_floor_clearance = 1, 1, 0)",
,LD_stile_hole_modifier,114,Derived,Helper,"For the door adjacent to the LEFT side of the stile:
Adjustment factor convert door y coordinates to stile y coordinates","114) Derived - Helper
    For the door adjacent to the LEFT side of the stile:
Adjustment factor convert door y coordinates to stile y coordinates",No,2.0625,=component_height-(LD_height+LD_floor_clearance-leveling_gap),
,,,,,,,,,,
Routing - LEFT side,,,,,,,,,,
,left_interior_rabbeting,111,Derived,Model,Whether rabbeting is present the interior left edge of the stile,"111) Derived - Model
    Whether rabbeting is present the interior left edge of the stile",No,1,"=IF(AND(left_side_door=1,LD_swinging_out=0),1,0)",
,left_exterior_rabbeting,112,Derived,Model,Whether rabbeting is present the exterior left edge of the stile,"112) Derived - Model
    Whether rabbeting is present the exterior left edge of the stile",No,0,"=IF(AND(left_side_door=1,LD_swinging_out=1),1,0)",
,left_rabbeting_activation_offset,113,Fixed,Helper,"An offset that repositions a void relative to the component, allowing the void to cut into the panel at the specified location and create left rabbeting on the model","113) Fixed - Helper
    An offset that repositions a void relative to the component, allowing the void to cut into the panel at the specified location and create left rabbeting on the model",No,0.125,"=IF(
     left_interior_rabbeting = 1,
     (1/8),
     IF(
          left_exterior_rabbeting = 1,
          -(1/8),
          component_thickness
        )
    )",
,LD_full_rabbeting_top,114,Derived,Helper,Whether rabbeting on the stile's left side extends all the way to the top,"114) Derived - Helper
    Whether rabbeting on the stile's left side extends all the way to the top",No,1,"=IF(
     AND( LD_ceiling_clearance < through_rabbeting_threshold, left_side_door = 1),
     1,
     0
   )",
,LD_full_rabbeting_bottom,115,Derived,Helper,Whether rabbeting on the stile's left side extends all the way to the bottom,"115) Derived - Helper
    Whether rabbeting on the stile's left side extends all the way to the bottom",No,0,"=IF(
     AND(LD_floor_clearance < through_rabbeting_threshold, left_side_door = 1),
     1,
     0
   )",
