Type,Parameter Name,Value,Unit,Expression,Comment
Model,d101,3.22,in,top_hinge_hole_2_y_value,
Model,d102,30.147000000000006,in,mid_top_hinge_hole_1_y_value,
Model,d103,31.647000000000006,in,mid_top_hinge_hole_2_y_value,
Model,d104,61.04299999999999,in,mid_bottom_hinge_hole_1_y_value,
Model,d105,62.543,in,mid_bottom_hinge_hole_2_y_value,
Model,d106,89.47,in,bottom_hinge_hole_1_y_value,
Model,d107,90.97,in,bottom_hinge_hole_2_y_value,
Model,d129,3.310000000000001,in,if(bottom_notching_actual_y_dist > 0 in; bottom_notching_actual_y_dist; 1 in),
Model,d139,0.25,in,notch_corner_radius,
Model,d140,0.4414,in,notching_x_dist,
Model,d141,1.0,in,1 in,
Model,d142,5.499999999999999,in,if(top_notching_y_dist == 0 in; 2 in; top_notching_y_dist + 1 in),
Model,d190,0.25,in,notch_corner_radius,
Model,d191,0.25,in,notch_corner_radius,
Model,d78,2.0,in,2 in,
Model,d79,'outside surface',Text,'outside surface',
Model,d175,11.0,in,11 in,
Model,d176,6.0,in,6 in,
Model,d143,0.0,in,0.0000 in,
Model,d144,-0.75,in,if(top_right_notching; component_thickness; -component_thickness),
Model,d145,0.0,deg,0.00 deg,
Model,d146,0.0,in,0.0000 in,
Model,d147,-0.75,in,if(top_left_notching; component_thickness; -component_thickness),
Model,d148,0.0,deg,0.00 deg,
Model,d154,0.5,in,0.5 in,
Model,d155,0.25,in,0.25 in,
Model,d156,0.25,in,0.25 in,
Model,d157,0.25,in,0.25 in,
Model,d158,0.25,in,0.25 in,
Model,d159,0.25,in,0.25 in,
Model,d160,0.25,in,0.25 in,
Model,d161,0.25,in,0.25 in,
Model,d162,0.25,in,0.25 in,
Model,d192,0.4414,in,notching_x_dist,
Model,d195,4.5,in,top_notching_y_dist,
Model,d198,0.25,in,notch_corner_radius,
Model,d199,5.0,in,5 in,
Model,d203,0.5,in,0.5 in,
Model,d222,1.0,in,1 in,
Model,d207,0.4414,in,notching_x_dist,
Model,d208,3.310000000000001,in,bottom_notching_actual_y_dist,
Model,d209,0.25,in,notch_corner_radius,
